loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l11ex.started,l11ex.stopped,l21ex.started,l21ex.stopped,t11ex.started,t11ex.stopped,tTex.started,tTex.stopped,fix1.started,fix1.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.started,trial1Resp.stopped,breakText1.started,breakText1.stopped,breakResp1.keys,breakResp1.rt,breakResp1.started,breakResp1.stopped,fix2.started,fix2.stopped,trial2Fix.started,trial2Fix.stopped,trial2L11.started,trial2L11.stopped,trial2L12.started,trial2L12.stopped,trial2L21.started,trial2L21.stopped,trial2L22.started,trial2L22.stopped,trial2T11.started,trial2T11.stopped,trial2T12.started,trial2T12.stopped,trial2TT.started,trial2TT.stopped,trial2Resp.keys,trial2Resp.corr,trial2Resp.started,trial2Resp.stopped,breakText2.started,breakText2.stopped,breakResp2.keys,breakResp2.rt,breakResp2.started,breakResp2.stopped,fix3.started,fix3.stopped,trial3Fix.started,trial3Fix.stopped,Trial3L11.started,Trial3L11.stopped,Trial3L12.started,Trial3L12.stopped,Trial3L21.started,Trial3L21.stopped,Trial3L22.started,Trial3L22.stopped,Trial3T11.started,Trial3T11.stopped,Trial3T12.started,Trial3T12.stopped,Trial3TT.started,Trial3TT.stopped,trial3Resp.keys,trial3Resp.corr,trial3Resp.started,trial3Resp.stopped,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,None,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,56.95268170000054,57.9518367999699,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,None,1,53.9700487999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.2,-0.4,-0.2,0.4,0.0,0.0,0.2,0.0,0.0,-0.2,0.2,None,None,None,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,60.95106570003554,61.95065140002407,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,None,1,57.969948400044814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,None,None,0.4,-0.2,-0.2,0.2,0.2,0.2,0.4,0.0,-0.4,-0.2,space,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,64.96706209995318,None,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,None,0,61.970910600037314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,0.0,0.0,0.0,0.2,None,None,-0.4,-0.2,0.4,-0.2,-0.4,0.0,space,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,68.94902900001034,69.94956989993807,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,None,0,65.96736010001041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.4,-0.2,0.0,0.2,-0.2,0.2,0.0,0.0,0.0,-0.2,0.4,-0.2,None,None,None,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,72.9649320000317,73.96451159997378,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,None,1,69.98340529995039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,0.2,0.4,-0.2,0.2,-0.2,-0.4,0.0,None,None,0.2,0.2,space,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,76.96372260001954,77.96364289999474,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,None,0,73.98234159999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.4,-0.2,0.4,-0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,None,None,None,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,80.96270839998033,81.9624605999561,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,None,1,77.98194690002128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,0.0,0.0,None,None,-0.2,0.2,0.0,0.2,0.4,0.2,-0.2,0.0,space,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,84.96172859997023,85.96143729996402,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,None,0,81.97958269994706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
None,None,-0.2,0.2,-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.2,0.4,0.0,space,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,88.96074689994566,89.96052840002812,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,None,0,85.97843060002197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,-0.2,0.2,0.2,0.0,0.0,0.0,-0.2,None,None,-0.2,0.0,space,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,92.95973490003962,93.95945640001446,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,None,0,89.97916750004515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
